iter	Passed	Remaining
0	2	1370
1	3	1314
2	5	1149
3	6	1121
4	7	1044
5	8	934
6	10	972
7	11	937
8	13	975
9	14	943
10	15	921
11	16	904
12	17	871
13	17	837
14	18	806
15	18	777
16	19	751
17	19	729
18	20	709
19	21	692
20	21	677
21	22	662
22	22	648
23	23	636
24	23	624
25	24	613
26	24	603
27	25	594
28	26	587
29	26	580
30	27	572
31	27	565
32	28	557
33	29	551
34	29	545
35	30	539
36	30	534
37	31	528
38	31	523
39	32	518
40	33	514
41	33	510
42	34	505
43	34	501
44	35	498
45	35	493
46	36	491
47	37	489
48	37	485
49	38	482
50	38	478
51	39	475
52	39	471
53	40	468
54	41	466
55	41	463
56	42	460
57	42	457
58	43	454
59	43	451
60	44	449
61	44	446
62	45	443
63	45	441
64	46	439
65	47	437
66	47	435
67	48	432
68	48	433
69	49	430
70	50	428
71	50	428
72	51	426
73	52	425
74	52	424
75	53	422
76	53	420
77	54	418
78	54	416
79	55	414
80	55	413
81	56	411
82	57	410
83	57	409
84	58	407
85	58	406
86	59	405
87	60	403
88	60	402
89	61	400
90	61	398
91	62	397
92	62	395
93	63	394
94	64	393
95	64	392
96	65	390
97	65	389
98	66	388
99	66	387
100	67	385
101	67	384
102	68	382
103	70	388
104	70	387
105	71	386
106	73	394
107	74	392
108	76	398
109	76	397
110	77	395
111	77	394
112	78	393
113	79	392
114	79	391
115	80	390
116	80	388
117	81	387
118	82	386
119	82	385
120	83	383
121	83	382
122	84	381
123	84	380
124	85	379
125	86	378
126	86	377
127	87	375
128	87	374
129	88	373
130	88	371
131	89	370
132	90	369
133	90	368
134	91	367
135	91	366
136	92	365
137	92	364
138	93	363
139	94	361
140	94	360
141	95	359
142	95	358
143	96	357
144	96	356
145	97	355
146	98	354
147	98	354
148	99	352
149	99	351
150	100	350
151	100	349
152	101	348
153	101	347
154	102	345
155	102	344
156	103	344
157	104	343
158	104	342
159	105	341
160	105	340
161	106	339
162	106	338
163	107	337
164	107	336
165	108	334
166	108	334
167	109	333
168	110	332
169	110	331
170	111	330
171	111	329
172	112	328
173	112	327
174	114	331
175	116	332
176	116	331
177	117	330
178	119	334
179	120	335
180	122	336
181	123	336
182	123	335
183	125	336
184	125	335
185	127	337
186	127	336
187	128	335
188	129	334
189	129	333
190	130	333
191	130	332
192	131	331
193	132	330
194	132	329
195	133	328
196	133	327
197	134	326
198	135	325
199	135	324
200	136	324
201	136	323
202	137	322
203	138	321
204	138	320
205	139	319
206	139	318
207	140	318
208	141	317
209	141	316
210	142	316
211	143	315
212	143	314
213	144	313
214	144	312
215	145	311
216	146	311
217	146	310
218	147	309
219	147	308
220	148	307
221	148	306
222	149	305
223	149	304
224	150	303
225	150	302
226	151	301
227	152	300
228	152	300
229	153	299
230	153	298
231	154	297
232	155	296
233	155	295
234	156	294
235	156	293
236	157	292
237	157	292
238	158	291
239	159	291
240	159	290
241	160	289
242	161	288
243	161	288
244	162	287
245	162	286
246	164	286
247	165	287
248	166	287
249	167	286
250	168	287
251	169	287
252	170	286
253	170	285
254	171	284
255	171	283
256	172	283
257	172	282
258	173	282
259	174	281
260	175	280
261	175	279
262	176	278
263	176	277
264	177	277
265	177	276
266	178	275
267	179	274
268	179	273
269	180	272
270	180	272
271	181	271
272	181	270
273	182	269
274	182	268
275	183	268
276	184	267
277	184	266
278	185	265
279	185	265
280	186	264
281	187	263
282	187	262
283	188	261
284	189	261
285	189	260
286	190	259
287	190	259
288	191	258
289	192	257
290	192	256
291	193	256
292	193	255
293	194	254
294	194	253
295	195	252
296	195	251
297	196	251
298	197	250
299	197	249
300	198	248
301	198	248
302	199	247
303	200	246
304	200	245
305	201	245
306	201	244
307	202	243
308	202	242
309	203	241
310	203	241
311	204	240
312	205	239
313	205	238
314	207	239
315	208	239
316	209	239
317	210	238
318	211	238
319	213	239
320	214	239
321	216	239
322	217	239
323	217	238
324	218	237
325	219	237
326	220	237
327	221	236
328	221	235
329	222	235
330	222	234
331	223	233
332	224	232
333	224	232
334	225	231
335	225	230
336	226	229
337	226	228
338	227	228
339	229	228
340	229	227
341	230	227
342	231	226
343	231	225
344	232	224
345	232	224
346	233	223
347	233	222
348	234	221
349	235	221
350	235	220
351	236	219
352	236	218
353	237	218
354	238	217
355	238	216
356	239	216
357	240	215
358	240	214
359	241	213
360	241	212
361	242	212
362	242	211
363	243	210
364	244	209
365	244	209
366	245	208
367	245	207
368	246	207
369	247	206
370	247	205
371	248	204
372	248	204
373	249	203
374	249	202
375	250	201
376	251	201
377	252	200
378	252	200
379	254	200
380	255	199
381	257	199
382	257	199
383	259	199
384	260	198
385	261	198
386	261	197
387	262	196
388	263	196
389	263	195
390	264	194
391	264	193
392	265	193
393	265	192
394	267	192
395	268	191
396	269	191
397	269	190
398	270	189
399	271	189
400	271	188
401	272	187
402	273	187
403	273	186
404	274	185
405	275	184
406	275	184
407	276	183
408	277	182
409	277	182
410	278	181
411	278	180
412	279	180
413	280	179
414	280	178
415	281	178
416	282	177
417	283	176
418	283	176
419	284	175
420	285	174
421	286	174
422	286	173
423	287	172
424	287	172
425	288	171
426	289	170
427	289	169
428	290	169
429	291	168
430	291	167
431	292	167
432	293	166
433	293	165
434	294	165
435	295	164
436	295	163
437	296	163
438	297	162
439	297	161
440	298	161
441	299	160
442	299	159
443	300	158
444	300	158
445	301	157
446	302	156
447	302	156
448	303	155
449	304	154
450	304	154
451	305	153
452	306	152
453	306	152
454	307	151
455	308	150
456	308	149
457	309	149
458	310	148
459	310	147
460	311	147
461	311	146
462	312	145
463	313	145
464	313	144
465	314	143
466	315	143
467	315	142
468	316	141
469	317	141
470	317	140
471	318	139
472	319	138
473	319	138
474	320	137
475	321	136
476	321	136
477	322	135
478	322	134
479	324	134
480	324	133
481	325	133
482	326	132
483	326	131
484	327	130
485	328	130
486	328	129
487	329	128
488	330	128
489	330	127
490	331	126
491	331	126
492	332	125
493	333	124
494	333	124
495	334	123
496	334	122
497	335	121
498	335	121
499	336	120
500	337	119
501	337	119
502	338	118
503	338	117
504	339	116
505	340	116
506	340	115
507	341	114
508	341	114
509	342	113
510	343	112
511	343	112
512	344	111
513	344	110
514	345	110
515	346	109
516	346	108
517	347	107
518	347	107
519	348	106
520	349	105
521	349	105
522	350	104
523	350	103
524	351	103
525	352	102
526	352	101
527	353	101
528	353	100
529	354	99
530	355	99
531	355	98
532	356	97
533	357	96
534	357	96
535	358	95
536	358	94
537	359	94
538	360	93
539	361	92
540	361	92
541	362	91
542	362	90
543	363	90
544	363	89
545	364	88
546	365	88
547	365	87
548	366	86
549	366	86
550	367	85
551	368	84
552	368	83
553	369	83
554	369	82
555	370	81
556	370	81
557	371	80
558	372	79
559	372	79
560	373	78
561	373	77
562	374	77
563	374	76
564	375	75
565	376	75
566	376	74
567	377	73
568	378	73
569	378	72
570	379	71
571	379	71
572	380	70
573	380	69
574	381	68
575	381	68
576	382	67
577	382	66
578	383	66
579	383	65
580	384	64
581	385	64
582	385	63
583	386	62
584	386	62
585	387	61
586	387	60
587	388	60
588	388	59
589	389	58
590	389	58
591	390	57
592	391	56
593	391	56
594	392	55
595	392	54
596	393	54
597	393	53
598	394	52
599	394	52
600	395	51
601	396	50
602	396	49
603	397	49
604	397	48
605	398	47
606	398	47
607	399	46
608	399	45
609	400	45
610	400	44
611	401	43
612	402	43
613	402	42
614	403	41
615	403	41
616	404	40
617	404	39
618	405	39
619	406	38
620	406	37
621	407	37
622	407	36
623	408	36
624	409	35
625	409	34
626	410	34
627	410	33
628	411	32
629	411	32
630	412	31
631	412	30
632	413	30
633	413	29
634	414	28
635	414	28
636	415	27
637	416	26
638	416	26
639	417	25
640	417	24
641	418	24
642	418	23
643	419	22
644	419	22
645	420	21
646	420	20
647	421	20
648	422	19
649	422	18
650	423	18
651	423	17
652	424	16
653	424	16
654	425	15
655	425	14
656	426	14
657	426	13
658	427	12
659	427	12
660	428	11
661	428	11
662	429	10
663	429	9
664	430	9
665	431	8
666	431	7
667	432	7
668	432	6
669	433	5
670	433	5
671	434	4
672	434	3
673	435	3
674	435	2
675	436	1
676	437	1
677	437	0
678	438	0
